term_localName,label,definition,usage,notes,type
g000,unspecified organism group,placeholder collection for undefined groups,,,http://www.w3.org/2004/02/skos/core#Collection
g001,woody angiosperms,collection of concepts that apply to woody angiosperms,,,http://www.w3.org/2004/02/skos/core#Collection
g002,herbaceous angiosperms,collection of concepts that apply to herbaceous angiosperms,,,http://www.w3.org/2004/02/skos/core#Collection
g003,gymnosperms,collection of concepts that apply to gymnosperms,,,http://www.w3.org/2004/02/skos/core#Collection
g007,fish,collection of concepts that apply to fish,,,http://www.w3.org/2004/02/skos/core#Collection
g009,mammals,collection of concepts that apply to mammals,,,http://www.w3.org/2004/02/skos/core#Collection
g010,birds,collection of concepts that apply to birds,,,http://www.w3.org/2004/02/skos/core#Collection
g011,reptiles/amphibians,collection of concepts that apply to reptiles and amphibians,,,http://www.w3.org/2004/02/skos/core#Collection
g012,insects,collection of concepts that apply to insects,,,http://www.w3.org/2004/02/skos/core#Collection
g013,non-bilaterally symmetric animals,collection of concepts that apply to non-bilaterally symmetric animals,,,http://www.w3.org/2004/02/skos/core#Collection
