dwc:occurrenceId,dcterms:identifier,ac:accessURI,ac:associatedSpecimenReference,ac:caption,ac:comments,Iptc4xmpExt:CountryName,xmp:CreateDate,dc:creator,photoshop:Credit,dcterms:description,ac:digitizationDate,dc:format,ac:hashFunction,ac:hashValue,ac:hasServiceAccessPoint,ac:IDofContainingCollection,ac:licenseLogoURL,xmp:MetadataDate,ac:metadataLanguage,ac:metadataLanguageLiteral,ac:metadataProviderLiteral,dcterms:modified,xmpRights:Owner,exif:PixelXDimension,exif:PixelYDimension,ac:providerLiteral,ac:providerManagedID,Iptc4xmpExt:ProvinceState,references,dc:rights,dcterms:rights_1,rightsHolder,dwc:scientificName,ac:serviceExpectation,dc:source,ac:subjectCategoryVocabulary,ac:subtypeLiteral,ac:tag,dc:title,dc:type,dcterms:type_1,xmpRights:UsageTerms,ac:variant,ac:variantLiteral,xmpRights:WebStatement,Iptc4xmpExt:WorldRegion
9b6a21c4-76f5-4117-acae-e7c88bc33864,https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=b5f1fe84-005b-4566-a495-35455cdff672,,,,,,2016-12-13 18:17:03,E. Meyrick,,,,image/jpeg,,b051556e80faebe5d9e3c691a854d23e,,,,,,,,,,3000,2047,,,,https://images.ala.org.au/image/b5f1fe84-005b-4566-a495-35455cdff672,,,CSIRO,,,,,,,Eutorna pabulicola,,,Creative Commons Attribution Non-Commercial Australia 3.0,,,,
9145ec8b-a322-4784-b417-091ed3f137ee,https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=c43a8574-45c8-41e5-a544-0e09dd33b3de,,,,,,2016-12-13 18:16:52,F.P. Dodd,,,,image/jpeg,,10febcb8c37dd9a626a50253e559e318,,,,,,,,,,3000,2047,,,,https://images.ala.org.au/image/c43a8574-45c8-41e5-a544-0e09dd33b3de,,,CSIRO,,,,,,,Eupselia tristephana,,,Creative Commons Attribution Non-Commercial Australia 3.0,,,,
f7a0a6ae-3e39-4ab2-8f5e-51dfbec192f7,https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=d6d9851b-1513-4028-b7fb-cf2b477208b1,,,,,,2016-12-13 18:10:05,W.B. Barnard,,,,image/jpeg,,2f885f4e4a9b0f11cddbd24aeb50e5dd,,,,,,,,,,3000,2047,,,,https://images.ala.org.au/image/d6d9851b-1513-4028-b7fb-cf2b477208b1,,,CSIRO,,,,,,,Eupselia axiepaena,,,Creative Commons Attribution Non-Commercial Australia 3.0,,,,
19880f3a-735f-445d-b4aa-5f5c22e3bcdb,https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=ccc293d9-cadc-4f2d-a3d8-20258f3eeee3,,,,,,2016-12-13 17:49:34,F.P. Dodd,,,,image/jpeg,,a3d7f43dfbee02c3b2460eff50b8dcff,,,,,,,,,,3000,2047,,,,https://images.ala.org.au/image/ccc293d9-cadc-4f2d-a3d8-20258f3eeee3,,,CSIRO,,,,,,,Chionogenes trimetra,,,Creative Commons Attribution Non-Commercial Australia 3.0,,,,
03e79bcc-6262-459d-bcff-9950c39d3c00,https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=c163c43e-8442-4952-9097-4db6193e08f1,,,,,,2016-12-13 17:45:43,Dodd,,,,image/jpeg,,9f949ae88ac1c67389a0346608c233b3,,,,,,,,,,3000,2047,,,,https://images.ala.org.au/image/c163c43e-8442-4952-9097-4db6193e08f1,,,CSIRO,,,,,,,Carmenta melanocera,,,Creative Commons Attribution Non-Commercial Australia 3.0,,,,
90c9917e-3f27-4f84-be17-3a88bfca3c7d,f6928cc6-5164-4662-8cea-0024ce92da5a,https://fm-digital-assets.fieldmuseum.org/1978/251/C0239066F_14076.jpg,,,,,,Field Museum of Natural History - Botany Department,Please cite this as: (c) The Field Museum (DATE) CC-BY-NC,Label image for C0239066F,,jpeg,MD5,ad58d86de91eb15cb3debd99c1dd04b3,,http://grbio.org/cool/90as-ki3a,,2019-08-23,,eng,,,Field Museum of Natural History,2304,1536,Field Museum of Natural History - Botany Department,1978251,,,[Copyright] Field Museum of Natural History - CC BY-NC,,,,,,,,Fungi | Label,C0239066F,StillImage,,,,,https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections,
849d7001-a300-4895-8077-a27f4c36539c,353f1430-2149-4bb3-9e50-97d9682cc4b0,https://fm-digital-assets.fieldmuseum.org/1978/138/C0238952F_13965.jpg,,,,,,Field Museum of Natural History - Botany Department,Please cite this as: (c) The Field Museum (DATE) CC-BY-NC,Label image for C0238952F,,jpeg,MD5,2b38eb3499c1f994a0dc2f60684fc8f1,,http://grbio.org/cool/90as-ki3a,,2019-08-23,,eng,,,Field Museum of Natural History,2304,1536,Field Museum of Natural History - Botany Department,1978138,,,[Copyright] Field Museum of Natural History - CC BY-NC,,,,,,,,Fungi | Label,C0238952F,StillImage,,,,,https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections,
f860a703-2b71-4fbb-8107-a3e2f425a8ad,f702373a-b774-4125-be40-f5529a8c0835,https://fm-digital-assets.fieldmuseum.org/1978/090/C0238905F_13918.jpg,,,,,,Field Museum of Natural History - Botany Department,Please cite this as: (c) The Field Museum (DATE) CC-BY-NC,Label image for C0238905F,,jpeg,MD5,bcceb61f6e0f3ac1b2ee26f6d4d626ac,,http://grbio.org/cool/90as-ki3a,,2019-08-23,,eng,,,Field Museum of Natural History,2304,1536,Field Museum of Natural History - Botany Department,1978090,,,[Copyright] Field Museum of Natural History - CC BY-NC,,,,,,,,Fungi | Label,C0238905F,StillImage,,,,,https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections,
10597c69-e9bd-43a2-ad8f-7e659b5f1b63,4e3393cf-26c6-43d9-877f-a3240ed8aa60,https://fm-digital-assets.fieldmuseum.org/1978/307/C0239120F_14128.jpg,,,,,,Field Museum of Natural History - Botany Department,Please cite this as: (c) The Field Museum (DATE) CC-BY-NC,Label image for C0239120F,,jpeg,MD5,ea2bd4fd23f39579a0575b47bcbb9433,,http://grbio.org/cool/90as-ki3a,,2019-08-23,,eng,,,Field Museum of Natural History,2304,1536,Field Museum of Natural History - Botany Department,1978307,,,[Copyright] Field Museum of Natural History - CC BY-NC,,,,,,,,Fungi | Label,C0239120F,StillImage,,,,,https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections,
bc42b153-c376-4233-92ef-a943d877511d,dd6a427f-3c5b-4dc4-9c79-dc9701ad9fe0,https://fm-digital-assets.fieldmuseum.org/1469/861/Calvatia Union County IL.JPG,,,,,,J. McFarland,Please cite this as: (c) The Field Museum (DATE) CC-BY-NC,fresh specimen photo in situ,,jpeg,MD5,3da177f7d956efad6dbe348fe184d7c4,,http://grbio.org/cool/90as-ki3a,,2018-08-22,,eng,,,Field Museum of Natural History,640,480,Field Museum of Natural History,1469861,,,[Copyright] Field Museum of Natural History - CC BY-NC,,,,,,,,Fungi,Calvatia gigantea,StillImage,,,,,https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections,
