term_localName,label,skos_broader,skos_inScheme,definition,ontology_definition,usage,notes,controlled_value_string,type
p,subject part concept scheme,,,a SKOS concept scheme for ac:subjectOrientation,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
p0000,unspecified part,,p,,,,,unspecifiedPart,http://www.w3.org/2004/02/skos/core#Concept
p0001,entire organism,,p,An entire multicellular organism,http://purl.obolibrary.org/obo/CARO_0000012,,,entireOrganism,http://www.w3.org/2004/02/skos/core#Concept
p0002,bark,,p,Plant tissue outside the vascular cambium,http://purl.obolibrary.org/obo/PO_0004518,,,bark,http://www.w3.org/2004/02/skos/core#Concept
p0003,twig,,p,Plant shoot axis developed from axillary buds,http://purl.obolibrary.org/obo/PO_0025073,,,twig,http://www.w3.org/2004/02/skos/core#Concept
p0004,stem,,p,Plant shoot axis that is the primary axis as defined by,http://purl.obolibrary.org/obo/PO_0009047,,,stem,http://www.w3.org/2004/02/skos/core#Concept
p0005,leaf,,p,Plant non-reproductive phyllome,http://purl.obolibrary.org/obo/PO_0025034,,,leaf,http://www.w3.org/2004/02/skos/core#Concept
p0006,strobilis (cone),,p,Plant reproductive system consisting of sporophylls,http://purl.obolibrary.org/obo/PO_0025083,,,strobilis,http://www.w3.org/2004/02/skos/core#Concept
p0007,inflorescence,,p,Plant reproductive shoot system containing flowers,http://purl.obolibrary.org/obo/PO_0009049,,,inflorescence,http://www.w3.org/2004/02/skos/core#Concept
p0008,fruit,,p,Plant structure developing from a flower,http://purl.obolibrary.org/obo/PO_0009001,,,fruit,http://www.w3.org/2004/02/skos/core#Concept
p0009,seed,,p,Plant structure containing dormant embryo,http://purl.obolibrary.org/obo/PO_0009010,,,seed,http://www.w3.org/2004/02/skos/core#Concept
p0010,male cone,p0006,p,Plant strobilis bearing pollen,http://purl.obolibrary.org/obo/PO_0005031,,,maleCone,http://www.w3.org/2004/02/skos/core#Concept
p0011,female cone,p0006,p,Plant strobilis bearing ovules,http://purl.obolibrary.org/obo/PO_0005032,,,femaleCone,http://www.w3.org/2004/02/skos/core#Concept
p0012,flower,p0007,p,Plant reproductive shoot system containing a carpel,http://purl.obolibrary.org/obo/PO_0009046,,,flower,http://www.w3.org/2004/02/skos/core#Concept
p0013,head,,p,Anterior-most division of the body,http://purl.obolibrary.org/obo/UBERON_0000033,,,head,http://www.w3.org/2004/02/skos/core#Concept
p0014,thorax,,p,The main middle section of the insect body,http://purl.obolibrary.org/obo/UBERON_6000015,,,thorax,http://www.w3.org/2004/02/skos/core#Concept
p0015,abdomen,,p,The most posterior of the three tagma,http://purl.obolibrary.org/obo/UBERON_6000020,,,abdomen,http://www.w3.org/2004/02/skos/core#Concept
p0016,leg,,p,Walking appendage,http://purl.obolibrary.org/obo/UBERON_0002101,,,leg,http://www.w3.org/2004/02/skos/core#Concept
p0017,wing,,p,Appendage that is shaped in order to produce lift for flight through the air,http://purl.obolibrary.org/obo/UBERON_0000023,,,wing,http://www.w3.org/2004/02/skos/core#Concept
p0018,antenna,,p,"The paired, usually multiple jointed, sensory organs on the head",http://purl.obolibrary.org/obo/UBERON_0000972,,,antenna,http://www.w3.org/2004/02/skos/core#Concept
p0019,forewing,p0017,p,,,,,forewing,http://www.w3.org/2004/02/skos/core#Concept
p0020,hindwing,p0017,p,,,,,hindwing,http://www.w3.org/2004/02/skos/core#Concept
p0021,foreleg,p0016,p,Leg of the prothoracic segment,http://purl.obolibrary.org/obo/UBERON_6004663,,,foreleg,http://www.w3.org/2004/02/skos/core#Concept
p0022,midleg,p0016,p,Leg of the mesothoracic segment,http://purl.obolibrary.org/obo/FBbt_00004685,,,midleg,http://www.w3.org/2004/02/skos/core#Concept
p0023,hindleg,p0016,p,Leg of the metathoracic segment,http://purl.obolibrary.org/obo/FBbt_00004707,,,hindleg,http://www.w3.org/2004/02/skos/core#Concept
p0024,eye,,p,An organ that detects light,http://purl.obolibrary.org/obo/UBERON_0000970,,,eye,http://www.w3.org/2004/02/skos/core#Concept
p0025,shell,,p,A rigid covering that envelops an object,http://purl.obolibrary.org/obo/UBERON_0006612,,,shell,http://www.w3.org/2004/02/skos/core#Concept
p0026,genitalia,,p,The outer sex organs,http://purl.obolibrary.org/obo/UBERON_0004176,,,genitalia,http://www.w3.org/2004/02/skos/core#Concept
p0027,skull,,p,The part of the head consisting entirely of cranium and mandible,http://purl.obolibrary.org/obo/UBERON_0003129,,,skull,http://www.w3.org/2004/02/skos/core#Concept
p0028,cranium,p0027,p,Upper portion of the skull,http://purl.obolibrary.org/obo/UBERON_0003128,,,cranium,http://www.w3.org/2004/02/skos/core#Concept
p0029,mandible,p0027,p,A dentary bone that is the only bone in one of the lateral halves of the lower jaw,http://purl.obolibrary.org/obo/UBERON_0001684,,,mandible,http://www.w3.org/2004/02/skos/core#Concept
p0030,fin,,p,An external projection of an aquatic animal used in propelling or guiding the body,http://purl.obolibrary.org/obo/UBERON_0008897,,,fin,http://www.w3.org/2004/02/skos/core#Concept
p0031,egg,,p,The hard-shelled reproductive body produced by a bird or a reptile,http://purl.obolibrary.org/obo/UBERON_0007379,,,egg,http://www.w3.org/2004/02/skos/core#Concept
